term,week,day of week,class,time spent (min)
sp24,1,Saturday,STAT 207,0.0
sp24,1,Saturday,GEOL 107,0.0
sp24,1,Sunday,MATH 257,15.0
sp24,1,Sunday,STAT 207,0.0
sp24,1,Sunday,GEOL 107,0.0
sp24,1,Sunday,ASTR 210,30.0
sp24,2,Monday,STAT 207,0.0
sp24,2,Monday,GEOL 107,0.0
sp24,2,Monday,MATH 257,45.0
sp24,2,Monday,ASTR 210,0.0
sp24,2,Tuesday,ASTR 210,60.0
sp24,2,Tuesday,STAT 207,0.0
sp24,2,Tuesday,GEOL 107,0.0
sp24,2,Tuesday,MATH 257,0.0
sp24,2,Wednesday,GEOL 107,0.0
sp24,2,Wednesday,ASTR 210,0.0
sp24,2,Wednesday,STAT 207,90.0
sp24,2,Wednesday,MATH 257,60.0
sp24,2,Thursday,MATH 257,90.0
sp24,2,Thursday,ASTR 210,0.0
sp24,2,Thursday,GEOL 107,60.0
sp24,2,Thursday,STAT 207,30.0
sp24,2,Friday,ASTR 210,0.0
sp24,2,Friday,GEOL 107,0.0
sp24,2,Friday,MATH 257,60.0
sp24,2,Friday,STAT 207,0.0
sp24,2,Saturday,ASTR 210,60.0
sp24,2,Saturday,STAT 207,105.0
sp24,2,Saturday,GEOL 107,0.0
sp24,2,Saturday,MATH 257,30.0
sp24,2,Sunday,STAT 207,0.0
sp24,2,Sunday,ASTR 210,30.0
sp24,2,Sunday,GEOL 107,30.0
sp24,2,Sunday,MATH 257,60.0
sp24,3,Monday,ASTR 210,135.0
sp24,3,Monday,GEOL 107,0.0
sp24,3,Monday,MATH 257,0.0
sp24,3,Monday,STAT 207,0.0
sp24,3,Tuesday,ASTR 210,105.0
sp24,3,Tuesday,STAT 207,0.0
sp24,3,Tuesday,GEOL 107,45.0
sp24,3,Tuesday,MATH 257,0.0
sp24,3,Wednesday,STAT 207,0.0
sp24,3,Wednesday,GEOL 107,0.0
sp24,3,Wednesday,ASTR 210,75.0
sp24,3,Wednesday,MATH 257,135.0
sp24,3,Thursday,STAT 207,0.0
sp24,3,Thursday,ASTR 210,15.0
sp24,3,Thursday,GEOL 107,0.0
sp24,3,Thursday,MATH 257,100.0
sp24,3,Friday,GEOL 107,0.0
sp24,3,Friday,STAT 207,0.0
sp24,3,Friday,ASTR 210,0.0
sp24,3,Friday,MATH 257,0.0
sp24,3,Saturday,GEOL 107,0.0
sp24,3,Saturday,ASTR 210,60.0
sp24,3,Saturday,STAT 207,0.0
sp24,3,Saturday,MATH 257,60.0
sp24,3,Sunday,ASTR 210,0.0
sp24,3,Sunday,GEOL 107,30.0
sp24,3,Sunday,STAT 207,0.0
sp24,3,Sunday,MATH 257,0.0
sp24,4,Monday,MATH 257,0.0
sp24,4,Monday,ASTR 210,45.0
sp24,4,Monday,GEOL 107,90.0
sp24,4,Monday,STAT 207,0.0
sp24,4,Tuesday,ASTR 210,105.0
sp24,4,Tuesday,MATH 257,0.0
sp24,4,Tuesday,STAT 207,90.0
sp24,4,Tuesday,GEOL 107,0.0
sp24,4,Wednesday,GEOL 107,0.0
sp24,4,Wednesday,MATH 257,30.0
sp24,4,Wednesday,ASTR 210,105.0
sp24,4,Wednesday,STAT 207,60.0
sp24,4,Thursday,MATH 257,0.0
sp24,4,Thursday,STAT 207,0.0
sp24,4,Thursday,ASTR 210,0.0
sp24,4,Thursday,GEOL 107,0.0
sp24,4,Friday,STAT 207,0.0
sp24,4,Friday,GEOL 107,0.0
sp24,4,Friday,ASTR 210,0.0
sp24,4,Friday,MATH 257,0.0
sp24,4,Saturday,GEOL 107,0.0
sp24,4,Saturday,ASTR 210,90.0
sp24,4,Saturday,MATH 257,20.0
sp24,4,Saturday,STAT 207,0.0
sp24,4,Sunday,MATH 257,60.0
sp24,4,Sunday,ASTR 210,40.0
sp24,4,Sunday,STAT 207,60.0
sp24,4,Sunday,GEOL 107,30.0
sp24,5,Monday,GEOL 107,30.0
sp24,5,Monday,MATH 257,0.0
sp24,5,Monday,STAT 207,0.0
sp24,5,Monday,ASTR 210,75.0
sp24,5,Tuesday,GEOL 107,30.0
sp24,5,Tuesday,MATH 257,30.0
sp24,5,Tuesday,STAT 207,135.0
sp24,5,Tuesday,ASTR 210,55.0
sp24,5,Wednesday,GEOL 107,0.0
sp24,5,Wednesday,STAT 207,0.0
sp24,5,Wednesday,MATH 257,60.0
sp24,5,Wednesday,ASTR 210,45.0
sp24,5,Thursday,MATH 257,65.0
sp24,5,Thursday,STAT 207,30.0
sp24,5,Thursday,ASTR 210,30.0
sp24,5,Thursday,GEOL 107,0.0
sp24,5,Friday,ASTR 210,0.0
sp24,5,Friday,GEOL 107,0.0
sp24,5,Friday,MATH 257,0.0
sp24,5,Friday,STAT 207,45.0
sp24,5,Saturday,MATH 257,0.0
sp24,5,Saturday,STAT 207,0.0
sp24,5,Saturday,GEOL 107,0.0
sp24,5,Saturday,ASTR 210,90.0
sp24,5,Sunday,ASTR 210,30.0
sp24,5,Sunday,STAT 207,30.0
sp24,5,Sunday,GEOL 107,45.0
sp24,5,Sunday,MATH 257,45.0
sp24,6,Monday,GEOL 107,0.0
sp24,6,Monday,ASTR 210,90.0
sp24,6,Monday,MATH 257,0.0
sp24,6,Monday,STAT 207,30.0
sp24,6,Tuesday,STAT 207,60.0
sp24,6,Tuesday,GEOL 107,30.0
sp24,6,Tuesday,ASTR 210,30.0
sp24,6,Tuesday,MATH 257,15.0
sp24,6,Wednesday,GEOL 107,0.0
sp24,6,Wednesday,MATH 257,0.0
sp24,6,Wednesday,STAT 207,195.0
sp24,6,Wednesday,ASTR 210,30.0
sp24,6,Thursday,STAT 207,30.0
sp24,6,Thursday,GEOL 107,0.0
sp24,6,Thursday,ASTR 210,60.0
sp24,6,Thursday,MATH 257,0.0
sp24,6,Friday,GEOL 107,0.0
sp24,6,Friday,STAT 207,30.0
sp24,6,Friday,ASTR 210,30.0
sp24,6,Friday,MATH 257,0.0
sp24,6,Saturday,MATH 257,120.0
sp24,6,Saturday,ASTR 210,0.0
sp24,6,Saturday,STAT 207,0.0
sp24,6,Saturday,GEOL 107,0.0
